item	token8	limit	note
object/tangible/veteran_reward/frn_vet_holo_leia.iff	27		Princess Leia Hologram
object/tangible/veteran_reward/frn_vet_protocol_droid_toy.iff	3		Protocol Droid Minature Replica
object/tangible/veteran_reward/frn_vet_r2_toy.iff	3		R2 Droid Miniature Replica
object/tangible/veteran_reward/frn_vet_rancor_toy.iff	33		Rancor Miniature Replica
object/tangible/veteran_reward/frn_vet_rug_rebel.iff	18		Rebel House Rug
object/tangible/veteran_reward/frn_yoda_fountain.iff	63		Remembrance Day Yoda Fountain
vet_reward_resource_crate	50		Resource Supply Generator
vet_reward_respec_reset	174		Respec Reset Device
object/tangible/veteran_reward/respec_voucher_deed.iff	78		Respec Voucher
object/tangible/veteran_reward/frn_vet_holo_sandcrawler.iff	21		Sand Crawler Hologram
object/tangible/veteran_reward/harvester.iff	15		Self Powered Harvester Deed
object/tangible/space/veteran_reward/sorosuub_space_yacht_deed.iff	0	1	Sorosuub Luxury Yacht Deed
item_vet_reward_sd_console_02	84		Star Destroyer System Console
item_vet_reward_sd_console_01	84		Star Destroyer Console Row
object/tangible/veteran_reward/frn_vet_stormtrooper_toy.iff	12		Stormtrooper Minature Replica
st_cn_vet_reward_super_battle_droid_boss	54		Storyteller Token for B2-X Super Battle Droid
st_cn_vet_reward_dark_jedi_boss	57		Storyteller Token for Dark Jedi Forcemaster
st_cn_vet_reward_nightsister_boss	57		Storyteller Token for Nightsister Bloodwitch
st_cn_vet_reward_rebel_commando_boss	54		Storyteller Token for Rebel Commando Vindicator
st_cn_vet_reward_stormtrooper_boss	54		Storyteller Token for Stormtrooper Veteran
st_cn_vet_reward_tusken_boss	57		Storyteller Token for Tusken Raider Dreadlord
object/tangible/veteran_reward/frn_tech_console_sectional_b.iff	12		System Readout Terminal
object/tangible/veteran_reward/frn_vet_tie_fighter_toy.iff	6		TIE Fighter Miniature Replica
object/tangible/veteran_reward/data_terminal_s2.iff	3		Translator Terminal
transport_skiff	0	1	Transport Skiff Deed
object/tangible/veteran_reward/frn_vet_carbonite_ugnaught.iff	51		Ugnaught in Carbonite
object/tangible/deed/ep3_pet_deed/varactyl_deed.iff	0	1	Varactyl Deed
item_vet_reward_token_01_01 1000	0	1	Veteran Reward Token Stipend
object/tangible/veteran_reward/frn_vet_x_wing_toy.iff	6		X-wing Miniature Replica
object/tangible/veteran_reward/frn_vet_holo_yoda.iff	30		Yoda Hologram
object/tangible/veteran_reward/frn_couch_falcon_section_s01.iff	6		YT-1300 Modular Seating
object/tangible/veteran_reward/frn_couch_falcon_corner_s01.iff	6		YT-1300 Passenger Lounge
